PlaneID Status RequestTime RunwayTime TurnaroundTime
1 D 0 2 2
2 L 0 4 4
3 D 2 6 4
4 L 3 8 5
5 D 4 10 6
6 L 5 12 7
7 D 6 14 8
8 L 7 16 9
9 D 8 18 10
10 L 9 20 11
11 D 10 22 12
13 D 12 24 12
15 D 14 26 12
17 D 16 28 12
19 D 18 30 12
21 D 20 32 12
23 D 22 34 12
25 D 24 36 12
27 D 26 38 12
29 D 28 40 12
31 D 30 42 12
33 D 32 44 12
35 D 34 46 12
37 D 36 48 12
39 D 38 50 12
41 D 40 52 12
43 D 42 54 12
45 D 44 56 12
47 D 46 58 12
49 D 48 60 12
51 D 50 62 12
53 D 52 64 12
55 D 54 66 12
57 D 56 68 12
59 D 58 70 12
12 L 11 72 61
14 L 13 74 61
16 L 15 76 61
18 L 17 78 61
20 L 19 80 61
22 L 21 82 61
24 L 23 84 61
26 L 25 86 61
28 L 27 88 61
30 L 29 90 61
32 L 31 92 61
34 L 33 94 61
36 L 35 96 61
38 L 37 98 61
40 L 39 100 61
42 L 41 102 61
44 L 43 104 61
46 L 45 106 61
48 L 47 108 61
50 L 49 110 61
52 L 51 112 61
54 L 53 114 61
56 L 55 116 61
58 L 57 118 61
60 L 59 120 61
